memid,surname,firstname,address,zipcode,telephone,recommendedby,joindate
0,GUEST,GUEST,GUEST,0,(000) 000-0000,,01-07-2012 00:00:00
1,Smith,Darren,"8 Bloomsbury Close, Boston",4321,555-555-5555,,02-07-2012 00:00:00
2,Smith,Tracy,"8 Bloomsbury Close, New York",4321,555-555-5555,,02-07-2012 00:00:00
3,Rownam,Tim,"23 Highway Way, Boston",23423,(844) 693-0723,,03-07-2012 00:00:00
4,Joplette,Janice,"20 Crossing Road, New York",234,(833) 942-4710,1,03-07-2012 00:00:00
5,Butters,Gerald,"1065 Huntingdon Avenue, Boston",56754,(844) 078-4130,1,09-07-2012 00:00:00
6,Tracy,Burton,"3 Tunisia Drive, Boston",45678,(822) 354-9973,,15-07-2012 00:00:00
7,Dare,Nancy,"6 Hunting Lodge Way, Boston",10383,(833) 776-4001,4,25-07-2012 00:00:00
8,Boothe,Tim,"3 Bloomsbury Close, Reading, 00234",234,(811) 433-2547,3,25-07-2012 00:00:00
9,Stibbons,Ponder,"5 Dragons Way, Winchester",87630,(833) 160-3900,6,25-07-2012 00:00:00
10,Owen,Charles,"52 Cheshire Grove, Winchester, 28563",28563,(855) 542-5251,1,03-08-2012 00:00:00
11,Jones,David,"976 Gnats Close, Reading",33862,(844) 536-8036,4,06-08-2012 00:00:00
12,Baker,Anne,"55 Powdery Street, Boston",80743,844-076-5141,9,10-08-2012 00:00:00
13,Farrell,Jemima,"103 Firth Avenue, North Reading",57392,(855) 016-0163,,10-08-2012 00:00:00
14,Smith,Jack,"252 Binkington Way, Boston",69302,(822) 163-3254,1,10-08-2012 00:00:00
15,Bader,Florence,"264 Ursula Drive, Westford",84923,(833) 499-3527,9,10-08-2012 00:00:00
16,Baker,Timothy,"329 James Street, Reading",58393,833-941-0824,13,15-08-2012 00:00:00
17,Pinker,David,"5 Impreza Road, Boston",65332,811 409-6734,13,16-08-2012 00:00:00
20,Genting,Matthew,"4 Nunnington Place, Wingfield, Boston",52365,(811) 972-1377,5,19-08-2012 00:00:00
21,Mackenzie,Anna,"64 Perkington Lane, Reading",64577,(822) 661-2898,1,26-08-2012 00:00:00
22,Coplin,Joan,"85 Bard Street, Bloomington, Boston",43533,(822) 499-2232,16,29-08-2012 00:00:00
24,Sarwin,Ramnaresh,"12 Bullington Lane, Boston",65464,(822) 413-1470,15,01-09-2012 00:00:00
26,Jones,Douglas,"976 Gnats Close, Reading",11986,844 536-8036,11,02-09-2012 00:00:00
27,Rumney,Henrietta,"3 Burkington Plaza, Boston",78533,(822) 989-8876,20,05-09-2012 00:00:00
28,Farrell,David,"437 Granite Farm Road, Westford",43532,(855) 755-9876,,15-09-2012 00:00:00
29,Worthington-Smyth,Henry,"55 Jagbi Way, North Reading",97676,(855) 894-3758,2,17-09-2012 00:00:00
30,Purview,Millicent,"641 Drudgery Close, Burnington, Boston",34232,(855) 941-9786,2,18-09-2012 00:00:00
33,Tupperware,Hyacinth,"33 Cheerful Plaza, Drake Road, Westford",68666,(822) 665-5327,,18-09-2012 00:00:00
35,Hunt,John,"5 Bullington Lane, Boston",54333,(899) 720-6978,30,19-09-2012 00:00:00
36,Crumpet,Erica,"Crimson Road, North Reading",75655,(811) 732-4816,2,22-09-2012 00:00:00
37,Smith,Darren,"3 Funktown, Denzington, Boston",66796,(822) 577-3541,,26-09-2012 00:00:00
